  -9.5000000000000000       -775.62500000000000     
  -9.0000000000000000       -656.00000000000000     
  -8.5000000000000000       -549.37500000000000     
  -8.0000000000000000       -455.00000000000000     
  -7.5000000000000000       -372.12500000000000     
  -7.0000000000000000       -300.00000000000000     
  -6.5000000000000000       -237.87500000000000     
  -6.0000000000000000       -185.00000000000000     
  -5.5000000000000000       -140.62500000000000     
  -5.0000000000000000       -104.00000000000000     
