           1          -1           1
           2           0           0
           3          -1          -1
           4          -2          -2
           5          -1          -1
           6          -2          -2
           7          -3          -1
           8          -2           0
           9          -3           1
          10          -4           0
          11          -5           1
          12          -4           0
          13          -5           1
          14          -4           2
          15          -5           1
          16          -4           2
          17          -3           3
          18          -2           2
          19          -3           1
          20          -4           2
          21          -5           3
          22          -6           2
          23          -7           3
          24          -8           2
          25          -9           1
          26         -10           0
          27         -11          -1
          28         -10          -2
          29         -11          -3
          30         -12          -4
          31         -11          -5
          32         -10          -4
          33          -9          -5
          34          -8          -6
          35          -9          -5
          36         -10          -6
          37          -9          -5
          38         -10          -6
          39         -11          -5
          40         -10          -6
          41          -9          -5
          42         -10          -4
          43          -9          -3
          44          -8          -4
          45          -9          -5
          46          -8          -4
          47          -7          -5
          48          -6          -4
          49          -5          -5
          50          -6          -6
          51          -7          -5
          52          -8          -6
          53          -9          -7
          54          -8          -6
          55          -9          -5
          56         -10          -6
          57         -11          -5
          58         -10          -4
          59         -11          -5
          60         -12          -4
          61         -11          -5
          62         -12          -6
          63         -13          -7
          64         -14          -8
          65         -15          -9
          66         -16          -8
          67         -17          -7
          68         -16          -6
          69         -17          -5
          70         -16          -4
          71         -15          -3
          72         -16          -4
          73         -15          -5
          74         -16          -6
          75         -15          -5
          76         -16          -6
          77         -15          -7
          78         -16          -6
          79         -15          -7
          80         -16          -8
          81         -17          -9
          82         -18         -10
          83         -19          -9
          84         -18         -10
          85         -19         -11
          86         -20         -12
          87         -21         -13
          88         -20         -14
          89         -21         -15
          90         -22         -14
          91         -23         -13
          92         -24         -14
          93         -25         -15
          94         -26         -16
          95         -27         -15
          96         -28         -14
          97         -29         -13
          98         -30         -14
          99         -29         -13
         100         -30         -14
         101         -29         -13
         102         -30         -12
         103         -31         -13
         104         -32         -14
         105         -31         -15
         106         -32         -14
         107         -31         -13
         108         -32         -14
         109         -33         -15
         110         -34         -16
         111         -33         -15
         112         -34         -16
         113         -35         -17
         114         -36         -18
         115         -37         -19
         116         -36         -20
         117         -37         -21
         118         -38         -22
         119         -37         -23
         120         -36         -22
         121         -37         -23
         122         -36         -22
         123         -37         -23
         124         -38         -22
         125         -37         -21
         126         -36         -22
         127         -37         -21
         128         -36         -22
         129         -37         -23
         130         -36         -24
         131         -35         -25
         132         -36         -26
         133         -37         -27
         134         -38         -28
         135         -37         -27
         136         -36         -28
         137         -35         -29
         138         -36         -28
         139         -37         -29
         140         -36         -30
         141         -35         -31
